

arquivo.txt,0.0070,11208.70
arquivo.txt,0.0073,10771.38
arquivo.txt,0.0410,1928.49
arquivo.txt,0.0174,4549.85
arquivo.txt,0.0128,6192.91
arquivo.txt,0.0076,10421.64
arquivo.txt,0.0067,11718.44
arquivo.txt,0.0066,11902.95
arquivo.txt,0.0070,11300.65
arquivo.txt,0.0076,10426.91
arquivo.txt,0.0097,8159.34
arquivo.txt,0.0077,10325.91
arquivo.txt,0.0055,14457.09
arquivo.txt,0.0064,12302.59
arquivo.txt,0.0074,10719.52
arquivo.txt,0.0072,10986.25
arquivo.txt,0.0060,13250.65
arquivo.txt,0.0076,10458.59
arquivo.txt,0.0096,8244.89
arquivo.txt,0.0062,12746.93
arquivo.txt,0.0049,16088.18
arquivo.txt,0.0076,10348.15
arquivo.txt,0.0070,11320.15
arquivo.txt,0.0041,19481.83
arquivo.txt,0.0044,17916.42
arquivo.txt,0.0043,18364.79
arquivo.txt,0.0043,18360.45
arquivo.txt,0.0046,17054.89
arquivo.txt,0.0036,21655.49
arquivo.txt,0.0044,18109.76
